X,Y,FID,GISDBID,Mode,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,Weekday_On,Weekday_Of,Saturday_O,Saturday_1,Sunday_Ons,Sunday_Off
-8376039.94167251,4860016.99281138,3295,21436W,Bus,21,Westbound,436,Walnut St & 61st St,39.959213,-75.243247,Fall 2023,17,47,9,35,3,22
-8376261.69009817,4860052.42913156,3296,2121384W,Bus,21,Westbound,21384,Walnut St & 62nd St,39.959457,-75.245239,Fall 2023,26,62,13,30,10,23
-8376488.44790092,4860091.20590549,3297,2121385W,Bus,21,Westbound,21385,Walnut St & 63rd St,39.959724,-75.247276,Fall 2023,27,63,14,28,13,28
-8367180.13471976,4858577.71701114,3298,21130W,Bus,21,Westbound,130,Walnut St & Broad St - MBNS,39.949302,-75.163658,Fall 2023,182,94,105,43,75,27
-8372844.07041133,4859496.79056519,3299,2131148W,Bus,21,Westbound,31148,Walnut St & Farragut St,39.955631,-75.214538,Fall 2023,17,53,12,35,10,30
-8364744.35294172,4873496.2767492,3300,2215455N,Bus,22,Northbound,15455,Broad St & 65th Av,40.051963,-75.141777,Fall 2023,14,9,5,2,4,1
-8364704.38924452,4873714.27572652,3301,2215463N,Bus,22,Northbound,15463,Broad St & 66th Av,40.053462,-75.141418,Fall 2023,94,46,53,22,38,15
-8364659.41617024,4873996.12540712,3302,2215465N,Bus,22,Northbound,15465,Broad St & 67th Av - FS,40.0554,-75.141014,Fall 2023,9,21,5,9,2,4
-8364633.03345092,4874175.30336513,3303,2215468N,Bus,22,Northbound,15468,Broad St & 68th Av,40.056632,-75.140777,Fall 2023,18,18,8,9,4,6
-8364595.63010202,4874395.64433731,3304,2217330N,Bus,22,Northbound,17330,Broad St & 69th Av,40.058147,-75.140441,Fall 2023,13,19,8,9,7,6
-8364560.89842089,4874617.59009732,3305,2217332N,Bus,22,Northbound,17332,Broad St & 70th Av,40.059673,-75.140129,Fall 2023,8,20,6,3,1,4
-8364524.38562791,4874827.90501747,3306,2215471N,Bus,22,Northbound,15471,Broad St & 71st Av,40.061119,-75.139801,Fall 2023,15,16,7,8,4,9
-8364932.81683963,4872390.21305203,3307,2217321N,Bus,22,Northbound,17321,Broad St & Champlost Av,40.044357,-75.14347,Fall 2023,28,9,8,1,8,1
-8364783.31476349,4873282.20903693,3308,2215454N,Bus,22,Northbound,15454,Broad St & Chelten Av,40.050491,-75.142127,Fall 2023,10,18,9,9,4,6
-8364466.61081219,4875129.71327168,3309,2217334N,Bus,22,Northbound,17334,Broad St & Cheltenham Av,40.063194,-75.139282,Fall 2023,18,28,9,16,10,8
-8364857.23090538,4872825.58547954,3310,2217323N,Bus,22,Northbound,17323,Broad St & Godfrey Av,40.047351,-75.142791,Fall 2023,38,17,21,9,12,5
-8365006.73298151,4871944.82677693,3311,2217319N,Bus,22,Northbound,17319,Broad St & Grange St,40.041294,-75.144134,Fall 2023,32,0,9,0,7,0
-8364820.7181124,4873054.18547196,3312,2217324N,Bus,22,Northbound,17324,Broad St & Medary Av,40.048923,-75.142463,Fall 2023,2,4,4,4,1,1
-8364966.76928432,4872162.79163777,3313,2217320N,Bus,22,Northbound,17320,Broad St & Nedro Av,40.042793,-75.143775,Fall 2023,38,1,11,1,9,0
-8364899.75495086,4872577.65060755,3314,2215450N,Bus,22,Northbound,15450,Broad St & Spencer St,40.045646,-75.143173,Fall 2023,12,12,8,4,3,3
-8366179.59513651,4876434.21245585,3315,2218264N,Bus,22,Northbound,18264,Cheltenham Av & 78th St,40.072162,-75.15467,Fall 2023,14,55,12,26,5,14
-8366334.99714566,4876545.789438,3316,2215489N,Bus,22,Northbound,15489,Cheltenham Av & 79th Av - FS,40.072929,-75.156066,Fall 2023,27,47,14,32,8,19
-8365460.24858701,4875898.74770942,3317,2217341N,Bus,22,Northbound,17341,Cheltenham Av & Andrews Av,40.068481,-75.148208,Fall 2023,20,23,16,6,12,1
-8365145.9936645,4875661.79088435,3318,2215477N,Bus,22,Northbound,15477,Cheltenham Av & Cedar Ln,40.066852,-75.145385,Fall 2023,9,12,3,5,4,2
-8368034.5118116,4877849.45665272,3319,22443N,Bus,22,Northbound,443,Cheltenham Av & Easton Rd,40.08189,-75.171333,Fall 2023,61,46,34,29,25,21
-8364993.15200364,4875546.87831953,3320,2215476N,Bus,22,Northbound,15476,Cheltenham Av & Euston Rd,40.066062,-75.144012,Fall 2023,9,26,5,6,3,4
-8366976.30873212,4877008.11267065,3321,2216930N,Bus,22,Northbound,16930,Cheltenham Av & Greenwood St,40.076107,-75.161827,Fall 2023,3,7,2,5,5,2
-8364739.23224514,4875356.62095204,3322,2217335N,Bus,22,Northbound,17335,Cheltenham Av & Keenan St,40.064754,-75.141731,Fall 2023,2,4,3,3,3,0
-8365596.9489217,4875999.11787051,3323,2215482N,Bus,22,Northbound,15482,Cheltenham Av & Massey Way,40.069171,-75.149436,Fall 2023,8,23,4,10,2,12
-8367941.89399526,4877758.96109852,3324,2216933N,Bus,22,Northbound,16933,Cheltenham Av & Mt Airy Av - FS,40.081268,-75.170501,Fall 2023,13,16,12,17,0,6
-8367674.39325889,4877551.93016643,3325,2216932N,Bus,22,Northbound,16932,Cheltenham Av & Mt Pleasant Av - MBFS,40.079845,-75.168098,Fall 2023,14,92,7,77,6,50
-8366688.32520944,4876804.87981939,3326,2289N,Bus,22,Northbound,89,Cheltenham Av & Ogontz Av - FS,40.07471,-75.15924,Fall 2023,131,89,87,39,63,29
-8365276.79406618,4875760.55857146,3327,2215478N,Bus,22,Northbound,15478,Cheltenham Av & Penrose Av,40.067531,-75.14656,Fall 2023,15,48,8,20,6,9
-8364876.82313576,4875460.91295569,3328,2215475N,Bus,22,Northbound,15475,Cheltenham Av & Sycamore Av,40.065471,-75.142967,Fall 2023,4,3,1,3,1,1
