X,Y,FID,Mode,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,WK_Ons,WK_Offs,Sat_Ons,Sat_Offs,Sun_Ons,Sun_Offs
-8364183.74798608,4890110.37455336,11563,Bus,80,Southbound,32414,Witmer Rd & Blair Mill Rd - MBNS,40.16611,-75.136741,Fall 2025,0,0,0,0,0,0
-8387317.83060427,4888109.62276698,11564,Bus,90,Eastbound,31384,Einstein Medical Ctr - south entrance,40.152374,-75.344558,Fall 2025,8,14,4,9,0,0
-8362598.11315922,4886637.42930943,11565,Bus,95,Northbound,809,Willow Grove Park Mall,40.142265,-75.122497,Fall 2025,0,22,0,15,0,0
-8364038.58737009,4889875.99066186,11566,Bus,80,Southbound,32415,Witmer Rd & Blair Mill Rd,40.164501,-75.135437,Fall 2025,0,0,0,0,0,0
-8384466.71580607,4887109.54425094,11567,Bus,90,Eastbound,31464,Germantown Pk & Swede Rd - FS,40.145507,-75.318946,Fall 2025,0,2,1,2,0,0
-8367289.6730987,4884187.94839917,11568,Bus,95,Northbound,1076,Fitzwatertown Rd & Jenkintown Rd - FS,40.125442,-75.164642,Fall 2025,1,1,0,0,0,0
-8364971.8899809,4871576.52212817,11569,Bus,80,Southbound,32631,Olney Transit Center - Rts 22 80,40.038761,-75.143821,Fall 2025,0,28,0,0,0,0
-8384733.43730601,4887170.70822994,11570,Bus,90,Eastbound,31465,Germantown Pk & Penn Square Rd,40.145927,-75.321342,Fall 2025,0,0,0,0,0,0
-8381643.65351955,4881092.27467065,11571,Bus,95,Northbound,1636,Metroplex Shopping Center,40.104175,-75.293586,Fall 2025,6,6,9,3,0,0
-8366672.18388327,4876822.62797669,11572,Bus,81,Northbound,136,Cheltenham Av & Ogontz Av Loop,40.074832,-75.159095,Fall 2025,0,151,0,117,0,99
-8385525.80944148,4887440.12549612,11573,Bus,90,Eastbound,31466,Germantown Pk & Stony Creek Rd - FS,40.147777,-75.32846,Fall 2025,0,2,0,0,0,0
-8386913.6295332,4878852.38315565,11574,Bus,95,Northbound,1639,Horizon Dr & Church Rd - MBNS,40.088783,-75.340927,Fall 2025,2,3,0,0,0,0
