X,Y,FID,GIS_DB_ID,Mode,Source,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,WKDY_ONS,WKDY_OFFS,SAT_ONS,SAT_OFFS,SUN_ONS,SUN_OFFS
-8358450.12629328,4872019.7107618,10009,26500E,Bus,Infodev,26,Eastbound,500,Robbins St & Langdon St,40.041809,-75.085235,Fall 2022,0,0,0,0,0,0
-8370958.65219576,4856407.07189371,10010,2924177E,Bus,Infodev,29,Eastbound,24177,32nd St & Tasker St,39.934352,-75.197601,Fall 2022,43,0,8,0,4,0
-8370985.81415151,4856235.4732236,10011,2924178E,Bus,Infodev,29,Eastbound,24178,32nd St & Morris St,39.93317,-75.197845,Fall 2022,80,3,14,0,10,0
-8367756.76968207,4855662.3377225,10012,29541E,Bus,Infodev,29,Eastbound,541,Morris St & Broad St,39.929222,-75.168838,Fall 2022,223,434,102,180,67,111
-8365576.57745489,4855288.53995149,10013,2924205E,Bus,Infodev,29,Eastbound,24205,Morris St & 2nd St,39.926647,-75.149253,Fall 2022,2,34,1,7,0,4
-8364819.93887596,4854960.19016962,10014,2924209E,Bus,Infodev,29,Eastbound,24209,Pier 70 Blvd & Columbus Blvd - FS,39.924385,-75.142456,Fall 2022,3,34,1,54,3,31
-8365314.97665152,4855424.12167329,10015,29543E,Bus,Infodev,29,Eastbound,543,Front St & Tasker St,39.927581,-75.146903,Fall 2022,0,19,0,8,0,6
-8365799.99567291,4855326.71748691,10016,2924204E,Bus,Infodev,29,Eastbound,24204,Morris St & Moyamensing Av,39.92691,-75.15126,Fall 2022,7,56,8,24,7,19
-8365115.49212402,4855392.04060632,10017,2924208E,Bus,Infodev,29,Eastbound,24208,Tasker St & Columbus Blvd,39.92736,-75.145111,Fall 2022,1,34,3,31,0,14
-8370822.7310975,4856175.66118567,10018,2924179E,Bus,Infodev,29,Eastbound,24179,Morris St & 31st St,39.932758,-75.19638,Fall 2022,38,2,18,0,12,0
-8370645.28782918,4856144.59390998,10019,2924180E,Bus,Infodev,29,Eastbound,24180,Morris St & 30th St,39.932544,-75.194786,Fall 2022,70,3,40,0,33,0
-8367509.64041251,4855619.07807654,10020,2924195E,Bus,Infodev,29,Eastbound,24195,Morris St & 13th St,39.928924,-75.166618,Fall 2022,15,11,7,6,4,3
-8367333.86693655,4855591.93201904,10021,2924196E,Bus,Infodev,29,Eastbound,24196,Morris St & 12th St,39.928737,-75.165039,Fall 2022,23,20,21,12,4,5
-8367159.76325295,4855562.60855361,10022,2924197E,Bus,Infodev,29,Eastbound,24197,Morris St & 11th St,39.928535,-75.163475,Fall 2022,20,50,6,16,9,8
-8366984.76901342,4855532.70451461,10023,2924198E,Bus,Infodev,29,Eastbound,24198,Morris St & 10th St,39.928329,-75.161903,Fall 2022,6,13,8,9,8,1
-8366808.10498153,4855502.21990728,10024,2924199E,Bus,Infodev,29,Eastbound,24199,Morris St & 9th St,39.928119,-75.160316,Fall 2022,12,31,8,10,10,6
-8366635.67109029,4855471.73539348,10025,2924200E,Bus,Infodev,29,Eastbound,24200,Morris St & 8th St,39.927909,-75.158767,Fall 2022,24,49,15,20,11,14
-8366464.12775498,4855442.41228272,10026,29542E,Bus,Infodev,29,Eastbound,542,Morris St & 7th St,39.927707,-75.157226,Fall 2022,13,85,19,41,14,19
-8366290.02407138,4855414.25056473,10027,2924201E,Bus,Infodev,29,Eastbound,24201,Morris St & 6th St,39.927513,-75.155662,Fall 2022,12,38,12,13,5,10
-8366115.92038778,4855383.18566942,10028,2924202E,Bus,Infodev,29,Eastbound,24202,Morris St & 5th St,39.927299,-75.154098,Fall 2022,8,40,6,19,3,10
-8364732.4417562,4855094.75130143,10029,29101E,Bus,Infodev,29,Eastbound,101,Pier 70 WalMart & Home Depot,39.925312,-75.14167,Fall 2022,0,160,0,162,0,112
-8371109.82406426,4856578.2379865,10030,29539E,Bus,Infodev,29,Eastbound,539,33rd St & Dickinson St Loop,39.935531,-75.198959,Fall 2022,29,0,13,0,5,0
-8370940.84107723,4856559.94528624,10031,2924176E,Bus,Infodev,29,Eastbound,24176,Dickinson St & 32nd St,39.935405,-75.197441,Fall 2022,84,0,27,0,10,0
-8370468.62379729,4856118.02711109,10032,2924181E,Bus,Infodev,29,Eastbound,24181,Morris St & 29th St,39.932361,-75.193199,Fall 2022,71,0,22,2,11,1
-8370291.9597654,4856088.70209314,10033,2924182E,Bus,Infodev,29,Eastbound,24182,Morris St & 28th St,39.932159,-75.191612,Fall 2022,69,6,23,0,20,0
-8370117.8560818,4856058.79647091,10034,2924183E,Bus,Infodev,29,Eastbound,24183,Morris St & 27th St,39.931953,-75.190048,Fall 2022,162,5,85,2,51,1
-8369942.86184227,4856029.47162776,10035,2924184E,Bus,Infodev,29,Eastbound,24184,Morris St & 26th St,39.931751,-75.188476,Fall 2022,46,6,22,0,13,0
-8369750.05648422,4855998.40480914,10036,2924185E,Bus,Infodev,29,Eastbound,24185,Morris St & 25th St,39.931537,-75.186744,Fall 2022,11,8,6,2,5,0
-8369564.93217103,4855966.90257354,10037,2924186E,Bus,Infodev,29,Eastbound,24186,Morris St & 24th St,39.93132,-75.185081,Fall 2022,71,10,32,3,19,2
-8369382.36820613,4855936.41663418,10038,2924187E,Bus,Infodev,29,Eastbound,24187,Morris St & 23rd St,39.93111,-75.183441,Fall 2022,51,24,26,13,13,3
-8369195.46278109,4855902.59186807,10039,2924188E,Bus,Infodev,29,Eastbound,24188,Morris St & 22nd St,39.930877,-75.181762,Fall 2022,69,39,33,8,17,5
-8369019.68930512,4855875.44503605,10040,2924189E,Bus,Infodev,29,Eastbound,24189,Morris St & 21st St,39.93069,-75.180183,Fall 2022,28,8,16,2,10,5
-8368804.84268789,4855841.18496889,10041,29540E,Bus,Infodev,29,Eastbound,540,Morris St & 20th St,39.930454,-75.178253,Fall 2022,38,56,21,13,14,8
-8368630.73900429,4855810.11873892,10042,2924190E,Bus,Infodev,29,Eastbound,24190,Morris St & 19th St,39.93024,-75.176689,Fall 2022,35,13,23,3,8,1
-8368457.41455713,4855780.79462964,10043,2924191E,Bus,Infodev,29,Eastbound,24191,Morris St & 18th St,39.930038,-75.175132,Fall 2022,25,26,8,6,11,4
-8368284.20142945,4855752.05127978,10044,2924192E,Bus,Infodev,29,Eastbound,24192,Morris St & 17th St,39.92984,-75.173576,Fall 2022,32,16,26,6,11,3
-8368102.41670099,4855721.56599956,10045,2924193E,Bus,Infodev,29,Eastbound,24193,Morris St & 16th St,39.92963,-75.171943,Fall 2022,24,49,16,17,11,12
-8367933.43371396,4855692.67765366,10046,2924194E,Bus,Infodev,29,Eastbound,24194,Morris St & 15th St,39.929431,-75.170425,Fall 2022,13,16,21,3,13,5
-8365939.25635589,4855352.12087121,10047,2924203E,Bus,Infodev,29,Eastbound,24203,Morris St & 4th St,39.927085,-75.152511,Fall 2022,5,30,2,14,1,9
-8365369.41188252,4855254.13674672,10048,2924206E,Bus,Infodev,29,Eastbound,24206,Morris St & Front St,39.92641,-75.147392,Fall 2022,0,32,3,16,3,16
-8365048.36647107,4855398.1374527,10049,2923977W,Bus,Infodev,29,Westbound,23977,Tasker St & Columbus Blvd,39.927402,-75.144508,Fall 2022,19,0,13,1,9,0
-8366233.91904802,4855602.52913426,10050,2924214W,Bus,Infodev,29,Westbound,24214,Tasker St & 6th St,39.92881,-75.155158,Fall 2022,44,14,14,11,5,11
-8366931.22433835,4855725.34036251,10051,2924217W,Bus,Infodev,29,Westbound,24217,Tasker St & 10th St,39.929656,-75.161422,Fall 2022,14,9,7,7,5,5
-8367453.53538915,4855812.29627524,10052,2924220W,Bus,Infodev,29,Westbound,24220,Tasker St & 13th St,39.930255,-75.166114,Fall 2022,25,9,8,7,1,5
-8368230.65675438,4855942.51381457,10053,2924223W,Bus,Infodev,29,Westbound,24223,Tasker St & 17th St,39.931152,-75.173095,Fall 2022,32,23,11,29,5,18
-8368752.96780518,4856030.48783375,10054,2924226W,Bus,Infodev,29,Westbound,24226,Tasker St & 20th St,39.931758,-75.177787,Fall 2022,14,37,7,19,2,5
-8365884.93244438,4855544.89838372,10055,2924212W,Bus,Infodev,29,Westbound,24212,Tasker St & 4th St,39.928413,-75.152023,Fall 2022,37,3,18,1,10,2
-8366752.8905141,4855692.24215159,10056,2924216W,Bus,Infodev,29,Westbound,24216,Tasker St & 9th St,39.929428,-75.15982,Fall 2022,16,12,12,6,5,3
